horizon,P,PC,PCS,PCSB,PCSBI,PCSBIG
2,2.5115756275412817,2.934090085018609,2.95948039465989,3.0177133565107432,3.0494946369079936,3.0416745146705004
6,3.191961533175067,3.3823912071584354,3.289567381604502,3.227732672371816,3.149911136984013,3.05321933082231
10,3.6080287358521788,3.6118685538608237,3.4218479723845077,3.2361646605543357,3.069210125609791,2.9710902507369683
14,3.856250160812324,3.7220965022263783,3.4950958072534406,3.172039544852966,2.991091055410843,2.917404706714058
18,4.041815521743253,3.7514850706598195,3.4694393369818575,3.155355506871945,3.0037731748095235,2.91991765508043
22,4.195074226944832,3.772783735174996,3.424698869021609,3.109895438237678,3.0104040266292365,2.8940608353949537
26,4.2735093418840675,3.838284350956158,3.4635462335463703,3.0736789063101604,3.0569600035547224,2.8852172557124858
30,4.396514078368694,3.94888414448813,3.558981791001696,3.123812172395192,3.1022418417169564,2.8991108226432933
34,4.7594685244846575,4.303802419956571,3.7875623541651997,3.356957582111189,3.199856070072295,3.002696049469783
