,,mae_mean,mae_mean,mae_mean,mae_mean,mae_mean,mae_mean,mae_std,mae_std,mae_std,mae_std,mae_std,mae_std
tag,,P,PC,PCS,PCSB,PCSBI,PCSBIG,P,PC,PCS,PCSB,PCSBI,PCSBIG
model,group,,,,,,,,,,,,
ARIMA,Long,3.9973828421867372,,,,,,2.1939849979809396,,,,,
ARIMA,Medium,3.266232989826257,,,,,,1.964949771501369,,,,,
ARIMA,Short,1.72385770920876,,,,,,1.478006183402431,,,,,
KNN,Long,4.476497314912473,4.030323638466953,3.6033634595710886,3.184816220272181,3.119685971781325,2.9290080426085208,2.461013842164959,2.176834066653987,1.8757007503952061,1.708259768485132,1.8167363615789494,1.5044325127879852
KNN,Medium,4.031046636500136,3.7487884360203982,3.463078004418969,3.1457634966541965,3.001756085616535,2.910461065729814,2.0774904566746617,1.915699728231732,1.7551671107944709,1.5880799157673968,1.6178905696795585,1.5506549046401217
KNN,Short,3.103855298856176,3.3094499486792888,3.2236319162163003,3.1605368964789657,3.0895386331672663,3.0219946987432595,1.7599645869978209,1.782388456833756,1.7118509323393651,1.6108669322895524,1.6093287296225836,1.5655125268812704
LSTM,Long,5.540508713353831,5.399032788333476,6.137716071728096,5.958156205371457,5.905387872735064,5.820152390371249,3.593629149748442,3.316725606780285,4.03037100798955,4.056003776656543,3.8224386503239476,3.8533151804877033
LSTM,Medium,5.188503717253837,5.462015473246591,5.892782222992791,5.86412182315283,5.701880836708632,5.602945697739507,3.325001476751323,3.404113871952453,3.6011171336017602,3.9064294980552714,3.61514949885442,3.2159123104234655
LSTM,Short,4.745797998608077,5.257859026073175,6.027598974416069,5.741133547820149,5.614610702725994,5.883219952675089,2.956305730221884,3.2905358356990817,3.6377118318648516,3.429263543887062,3.128536121008986,3.590590825943522
Naive-12Mean,Long,4.1832347638576435,4.1832347638576435,4.1832347638576435,4.1832347638576435,4.1832347638576435,4.1832347638576435,2.0863099704773087,2.0863099704773087,2.0863099704773087,2.0863099704773087,2.0863099704773087,2.0863099704773087
Naive-12Mean,Medium,3.387150368465856,3.387150368465856,3.387150368465856,3.387150368465856,3.387150368465856,3.387150368465856,1.7295822579664468,1.7295822579664468,1.7295822579664468,1.7295822579664468,1.7295822579664468,1.7295822579664468
Naive-12Mean,Short,2.4885099204731733,2.4885099204731733,2.4885099204731733,2.4885099204731733,2.4885099204731733,2.4885099204731733,1.385697466200395,1.385697466200395,1.385697466200395,1.385697466200395,1.385697466200395,1.385697466200395
RF,Long,4.310245730546318,3.9278855107034953,3.7383351057523426,3.4863826036334036,3.5833698006788786,3.2602533189547134,2.2526163708303595,1.9358256043166429,1.849880083071201,1.7892294274362215,1.9020903220686116,1.579571581403118
RF,Medium,3.858453302411902,3.6866162649326832,3.5595317222650578,3.375824135619063,3.4837145975788486,3.218084067562648,1.8837424526725366,1.8288653525391847,1.8212247064392153,1.6861906815428416,1.7733190017724687,1.5574035208690165
RF,Short,2.904728185722703,2.8874951083141416,2.8763565592213487,2.795539250552946,2.9487743613787067,2.8387098615703907,1.7713652351294125,1.7375912374802513,1.707380407093948,1.5599802253922586,1.6658577223933895,1.5738789090928587
Ridge,Long,4.372738263370803,5.135446973573568,5.05543142375038,5.097109803709127,5.323594042077188,5.27849230533757,2.1303360788884897,2.5249807562152387,2.2075982940446677,2.2200627264336856,2.065193032911749,1.9801362302977576
Ridge,Medium,3.426025522119396,4.004912632553864,3.987214169518216,4.253650999172372,4.427707026862531,4.686944594973616,1.7038857977161312,1.968291825757687,1.8291821327148734,1.8176242164895562,1.8181542246637858,1.8195241422617787
Ridge,Short,1.9876520382099205,2.247652045006322,2.259523417555005,2.445669057717477,2.60840870285676,2.912197070286242,1.269272226417888,1.4480072734935676,1.4347001262614203,1.5436696285823996,1.6344188780977598,1.8356417638732854
XGB,Long,4.417454632585123,3.976345034336074,3.644060119426889,3.3846677066971718,3.493337686185373,3.1387261926492322,2.329921244233185,2.071350346508335,1.8936672797170633,1.7798669216363414,1.9422232325533726,1.5304665914759878
XGB,Medium,3.9554701135627806,3.648604542913318,3.427815868844768,3.247531476007416,3.3158239151029827,3.05574483721746,1.9385908690766236,1.8325938789051277,1.7747209877142023,1.6163151192601897,1.7056061550102577,1.516088614494529
XGB,Short,3.0745353045048947,3.0040369255775956,2.9348890578341265,2.859330970110577,2.940394599492874,2.821735261915932,1.799307583509315,1.7795478263143722,1.6869805577597363,1.5914767143977586,1.6478409431758536,1.5755482170134403
